0,1,2
2015-10-01,98958.22000000006,0.014
2015-09-17,94261.03000000003,0.014
2015-09-03,89084.48000000007,0.014
2015-08-20,92254.46000000004,0.014
2015-08-06,87160.02999999997,0.014
2015-07-23,88382.59000000001,0.014
2015-07-09,90489.87000000002,0.014
2015-06-25,88849.78000000006,0.014
2015-06-11,94326.73000000007,0.014
2015-05-28,95114.81000000008,0.014
2015-05-14,94344.19000000006,0.014
2015-04-30,100860.71000000011,0.014
2015-04-16,98379.66000000003,0.014
2015-04-02,101377.18000000007,0.014
2015-03-19,97608.75000000003,0.014
2015-03-05,98159.01000000004,0.014
2015-02-19,98389.76000000005,0.014
2015-02-05,103926.94000000003,0.014
2015-01-22,104468.36000000009,0.014
2015-01-08,102962.06000000008,0.014
2014-12-24,102506.68000000007,0.014
2014-12-10,106951.02000000005,0.014
2014-11-26,104864.96,0.014
2014-11-12,106733.84,0.014
2014-10-29,107458.81,0.014
2014-10-15,111025.88999999998,0.014
2014-10-01,107281.09000000004,0.014
2014-09-17,106205.36000000004,0.014
2014-09-03,105041.02000000008,0.014
2014-08-20,104161.44000000009,0.014
2014-08-06,110671.47000000009,0.014
2014-07-23,109748.23000000014,0.014
2014-07-09,110231.13000000009,0.014
2014-06-25,110214.9400000001,0.014
2014-06-11,113279.8300000001,0.014
2014-05-28,115682.03000000007,0.014
2014-05-14,110673.31000000007,0.014
2014-04-30,112386.13000000005,0.014
2014-04-16,110015.24000000006,0.014
2014-04-02,110105.52000000006,0.014
2014-03-19,107727.01000000002,0.014
2014-03-05,111856.09000000004,0.014
2014-02-19,112306.67000000006,0.014
2014-02-05,109810.29000000005,0.014
2014-01-22,113824.40000000008,0.014
2014-01-08,110586.83000000012,0.014
2013-12-25,108275.94000000009,0.014
2013-12-11,104517.42000000007,0.014
2013-11-27,102767.02000000005,0.014
2013-11-13,109538.32000000002,0.014
2013-10-30,116824.76000000005,0.014
2013-10-16,112980.90000000011,0.014
2013-10-02,112989.84000000008,0.014
2013-09-18,117766.18000000012,0.014
2013-09-04,116041.19000000015,0.014
2013-08-21,118662.51000000013,0.014
2013-08-07,115250.2600000001,0.014
2013-07-24,113346.71000000014,0.014
2013-07-10,109910.38000000006,0.014
2013-06-26,102574.28000000014,0.014
2013-06-12,113164.98000000019,0.014
2013-05-29,114535.25000000017,0.014
2013-05-15,110684.25000000017,0.014
2013-05-01,115718.75000000012,0.014
2013-04-17,110804.45000000011,0.014
2013-04-03,119670.4500000001,0.014
2013-03-19,117495.9700000001,0.014
2013-03-05,115832.74000000008,0.014
2013-02-19,113212.38000000008,0.014
2013-02-05,120829.41000000008,0.014
2013-01-22,117068.5400000001,0.014
2013-01-08,117290.45000000007,0.014
2012-12-25,114321.80000000005,0.014
2012-12-11,113003.02000000002,0.014
2012-11-27,115942.21,0.014
2012-11-13,115331.92000000001,0.014
2012-10-30,114185.45000000003,0.014
2012-10-16,112604.04000000005,0.014
2012-10-02,115739.81999999999,0.014
